Time_s   F0_Hz
0.023646   --undefined--
0.033646   --undefined--
0.043646   --undefined--
0.053646   --undefined--
0.063646   --undefined--
0.073646   376.139271
0.083646   371.887408
0.093646   371.612145
0.103646   370.454448
0.113646   367.261608
0.123646   366.068612
0.133646   367.337963
0.143646   368.793401
0.153646   368.869291
0.163646   367.622021
0.173646   367.517389
0.183646   367.595101
0.193646   368.327822
0.203646   368.289162
0.213646   368.533619
0.223646   368.530225
0.233646   368.357118
0.243646   368.127766
0.253646   368.651488
0.263646   369.198510
0.273646   --undefined--
0.283646   --undefined--
0.293646   --undefined--
0.303646   --undefined--
0.313646   --undefined--
0.323646   --undefined--
0.333646   --undefined--
0.343646   --undefined--
0.353646   --undefined--
0.363646   --undefined--
0.373646   --undefined--
0.383646   288.115223
0.393646   288.332180
0.403646   291.996553
0.413646   290.271285
0.423646   286.370930
0.433646   287.795775
0.443646   288.546232
0.453646   288.175161
0.463646   287.954963
0.473646   288.346744
0.483646   288.120951
0.493646   288.372356
0.503646   288.403493
0.513646   288.502087
0.523646   288.231543
0.533646   288.258946
0.543646   288.795171
0.553646   288.633139
0.563646   288.422474
0.573646   288.345750
0.583646   288.449274
0.593646   288.537127
0.603646   288.299666
0.613646   288.015323
0.623646   287.872460
0.633646   288.529047
0.643646   289.103811
0.653646   288.787826
0.663646   288.394447
0.673646   288.538035
0.683646   --undefined--
0.693646   --undefined--
0.703646   --undefined--
0.713646   373.511183
0.723646   372.225095
0.733646   372.893719
0.743646   370.694411
0.753646   367.454107
0.763646   366.070033
0.773646   367.265618
0.783646   368.826352
0.793646   368.496729
0.803646   367.287636
0.813646   367.230147
0.823646   367.674834
0.833646   368.319551
0.843646   368.304287
0.853646   368.410396
0.863646   368.367880
0.873646   368.511516
0.883646   368.490901
0.893646   368.730125
0.903646   369.166331
0.913646   --undefined--
0.923646   --undefined--
0.933646   --undefined--
0.943646   --undefined--
0.953646   --undefined--
0.963646   --undefined--
0.973646   --undefined--
0.983646   --undefined--
0.993646   --undefined--
1.003646   --undefined--
1.013646   --undefined--
1.023646   --undefined--
1.033646   --undefined--
1.043646   --undefined--
1.053646   --undefined--
1.063646   --undefined--
1.073646   --undefined--
1.083646   --undefined--
1.093646   --undefined--
1.103646   --undefined--
1.113646   --undefined--
1.123646   --undefined--
1.133646   375.958026
1.143646   371.483115
1.153646   372.786491
1.163646   372.434397
1.173646   368.910971
1.183646   366.134062
1.193646   366.504572
1.203646   368.078077
1.213646   368.857792
1.223646   368.095400
1.233646   367.558092
1.243646   367.339115
1.253646   368.164752
1.263646   368.573196
1.273646   368.813254
1.283646   368.637863
1.293646   368.352051
1.303646   368.276968
1.313646   368.658505
1.323646   --undefined--
1.333646   --undefined--
1.343646   --undefined--
1.353646   --undefined--
1.363646   --undefined--
1.373646   --undefined--
1.383646   --undefined--
1.393646   --undefined--
1.403646   --undefined--
1.413646   --undefined--
1.423646   377.065449
1.433646   370.979740
1.443646   371.054711
1.453646   371.921139
1.463646   369.395564
1.473646   367.227172
1.483646   366.175570
1.493646   367.742652
1.503646   368.992315
1.513646   368.514189
1.523646   368.018934
1.533646   367.120606
1.543646   367.420080
1.553646   368.380405
1.563646   368.457764
1.573646   368.552349
1.583646   368.632780
1.593646   --undefined--
1.603646   --undefined--
1.613646   --undefined--
1.623646   --undefined--
1.633646   --undefined--
1.643646   --undefined--
1.653646   --undefined--
1.663646   --undefined--
1.673646   --undefined--
1.683646   --undefined--
1.693646   --undefined--
1.703646   --undefined--
1.713646   --undefined--
1.723646   --undefined--
